DB_ID,TAZ,ModelTAZ,NAME,AreaType,EXT,centroidcount,District,District_Name
210,3702100002309       ,210,00002309    9       ,0,0,1,8,Weaverville         
211,3702100002401       ,211,00002401    1       ,0,0,1,2,Downtown Ashevil    
212,3702100002402       ,212,00002402    2       ,0,0,1,2,Downtown Ashevil    
213,3702100002403       ,213,00002403    3       ,0,0,1,2,Downtown Ashevil    
214,3702100002404       ,214,00002404    4       ,0,0,1,2,Downtown Ashevil    
215,3702100002405       ,215,00002405    5       ,0,0,1,2,Downtown Ashevil    
216,3711500007003       ,216,00007003    3       ,0,0,1,13,Hot Springs         
217,3702100002407       ,217,00002407    7       ,0,0,1,2,Downtown Ashevil    
218,3702100002408       ,218,00002408    8       ,0,0,1,8,Weaverville         
219,3702100002409       ,219,00002409    9       ,0,0,1,8,Weaverville         
220,3702100002410       ,220,00002410    0       ,0,0,1,8,Weaverville         
221,3702100002411       ,221,00002411    1       ,0,0,1,2,Downtown Ashevil    
222,3702100002501       ,222,00002501    1       ,0,0,1,4,Black Mountain      
223,3702100002502       ,223,00002502    2       ,0,0,1,4,Black Mountain      
224,3702100002503       ,224,00002503    3       ,0,0,1,4,Black Mountain      
225,3702100002504       ,225,00002504    4       ,0,0,1,4,Black Mountain      
226,3702100002505       ,226,00002505    5       ,0,0,1,4,Black Mountain      
227,3702100002506       ,227,00002506    6       ,0,0,1,4,Black Mountain      
228,3702100002507       ,228,00002507    7       ,0,0,1,4,Black Mountain      
229,3702100002508       ,229,00002508    8       ,0,0,1,4,Black Mountain      
230,3702100002509       ,230,00002509    9       ,0,0,1,4,Black Mountain      
231,3702100002510       ,231,00002510    0       ,0,0,1,4,Black Mountain      
232,3702100002511       ,232,00002511    1       ,0,0,1,4,Black Mountain      
233,3702100002512       ,233,00002512    2       ,0,0,1,4,Black Mountain      
234,3702100002513       ,234,00002513    3       ,0,0,1,4,Black Mountain      
235,3702100002514       ,235,00002514    4       ,0,0,1,4,Black Mountain      
236,3702100002515       ,236,00002515    5       ,0,0,1,4,Black Mountain      
237,3702100002516       ,237,00002516    6       ,0,0,1,4,Black Mountain      
238,3702100002517       ,238,00002517    7       ,0,0,1,4,Black Mountain      
239,3708700005001       ,239,00005001    1       ,0,0,1,1,Waynesville         
240,3708700005002       ,240,00005002    2       ,0,0,1,1,Waynesville         
241,3708700005003       ,241,00005003    3       ,0,0,1,1,Waynesville         
242,3708700005004       ,242,00005004    4       ,0,0,1,1,Waynesville         
243,3708700005005       ,243,00005005    5       ,0,0,1,1,Waynesville         
244,3708700005006       ,244,00005006    6       ,0,0,1,1,Waynesville         
245,3708700005007       ,245,00005007    7       ,0,0,1,1,Waynesville         
246,3708700005008       ,246,00005008    8       ,0,0,1,1,Waynesville         
247,3708700005009       ,247,00005009    9       ,0,0,1,1,Waynesville         
248,3708700005010       ,248,00005010    0       ,0,0,1,1,Waynesville         
249,3708700005011       ,249,00005011    1       ,0,0,1,1,Waynesville         
250,3708700005012       ,250,00005012    2       ,0,0,1,3,Canton              
251,3708700005013       ,251,00005013    3       ,0,0,1,3,Canton              
252,3708700005014       ,252,00005014    4       ,0,0,1,3,Canton              
253,3708700005015       ,253,00005015    5       ,0,0,1,1,Waynesville         
254,3708700005016       ,254,00005016    6       ,0,0,1,1,Waynesville         
