"","PTAZ","ATAZ","IVT","TRIPS","z"
"183",2068,767,35.57,2,"HBW_WLK"
"190",2207,766,15.76,2,"HBW_WLK"
"193",2260,794,65.01,2,"HBW_WLK"
"194",2263,770,50.53,2,"HBW_WLK"
"233",1018,770,30.33,2,"NHB_WLK"
"234",2065,429,79.34,2,"NHB_WLK"
"253",949,317,0,2,"Unassigned_HBNW_WLK"
"282",1230,703,0,2,"Unassigned_HBW_FRGPNR"
"295",846,2008,0,2,"Unassigned_HBW_WLK"
"302",2285,765,0,2,"Unassigned_HBW_WLK"
"92",816,770,11.92,1.95,"HBW_CBDKNR"
"93",862,770,11.92,1.95,"HBW_CBDKNR"
"262",626,2008,0,1.95,"Unassigned_HBW_CBDKNR"
"264",999,738,0,1.95,"Unassigned_HBW_CBDKNR"
"266",1940,765,0,1.95,"Unassigned_HBW_CBDKNR"
"267",1963,711,0,1.95,"Unassigned_HBW_CBDKNR"
"270",2130,770,0,1.95,"Unassigned_HBW_CBDKNR"
"271",2261,2010,0,1.95,"Unassigned_HBW_CBDKNR"
"273",234,738,0,1.95,"Unassigned_HBW_FRGPNR"
"277",272,706,0,1.95,"Unassigned_HBW_FRGPNR"
"306",663,665,0,1.95,"Unassigned_NHB_WLK"
"30",607,1115,57.81,1.76,"HBNW_WLK"
"79",2112,1115,57.81,1.76,"HBNW_WLK"
"37",663,740,5.24,1.57,"HBNW_WLK"
"3",257,839,37.04,1.51,"HBNW_WLK"
"7",285,2200,24.27,1.51,"HBNW_WLK"
"23",534,463,89.11,1.51,"HBNW_WLK"
"163",876,302,48.58,1.51,"HBW_WLK"
"232",900,480,48.04,1.51,"NHB_WLK"
"90",2268,770,29.28,1.43,"HBNW_WLK"
"108",257,770,46.04,1.43,"HBW_WLK"
"127",596,421,29.71,1.43,"HBW_WLK"
"130",630,770,19.22,1.43,"HBW_WLK"
"149",798,770,31.99,1.43,"HBW_WLK"
"159",835,770,27.74,1.43,"HBW_WLK"
"161",862,770,24.26,1.43,"HBW_WLK"
"180",1951,2013,60.68,1.43,"HBW_WLK"
"186",2177,770,27.91,1.43,"HBW_WLK"
"192",2244,769,54.72,1.43,"HBW_WLK"
"11",322,843,42.41,1.34,"HBNW_WLK"
"255",1026,2017,0,1.34,"Unassigned_HBNW_WLK"
"85",2177,770,28.67,1.14,"HBNW_WLK"
"69",1044,687,37.41,1.08,"HBNW_WLK"
"136",695,480,23.66,1.08,"HBW_WLK"
"184",2151,2015,16.81,1.08,"HBW_WLK"
"231",885,435,32.25,1.08,"NHB_WLK"
"191",2243,673,39.02,1.05,"HBW_WLK"
"300",2134,2134,0,1.05,"Unassigned_HBW_WLK"
"2",198,731,38.3,1.04,"HBNW_WLK"
"18",444,661,19.8,1.04,"HBNW_WLK"
"19",462,663,33.49,1.04,"HBNW_WLK"
"24",591,2166,26.46,1.04,"HBNW_WLK"
"44",695,679,3.37,1.04,"HBNW_WLK"
"53",818,771,28.11,1.04,"HBNW_WLK"
"56",854,663,15.65,1.04,"HBNW_WLK"
"58",868,766,19.33,1.04,"HBNW_WLK"
"141",695,2021,16.08,1.04,"HBW_WLK"
"147",793,770,34.47,1.04,"HBW_WLK"
"174",1074,756,55.55,1.04,"HBW_WLK"
"189",2194,1995,51.1,1.04,"HBW_WLK"
"199",252,759,17.28,1.04,"NHB_WLK"
"207",489,854,45.33,1.04,"NHB_WLK"
"238",2202,765,31.23,1.04,"NHB_WLK"
"241",140,874,0,1.04,"Unassigned_HBNW_WLK"
"292",480,179,0,1.04,"Unassigned_HBW_WLK"
"245",512,1071,0,1,"Unassigned_HBNW_WLK"
"33",613,688,11.4,0.98,"HBNW_WLK"
"62",898,770,24.77,0.98,"HBNW_WLK"
"81",2134,765,18.12,0.98,"HBNW_WLK"
"106",176,765,37.31,0.98,"HBW_WLK"
"107",181,714,32.73,0.98,"HBW_WLK"
"109",272,703,17.51,0.98,"HBW_WLK"
"112",313,2166,24.72,0.98,"HBW_WLK"
"114",409,170,42.94,0.98,"HBW_WLK"
"117",428,739,8.95,0.98,"HBW_WLK"
"125",595,417,34.88,0.98,"HBW_WLK"
"146",784,2166,37.44,0.98,"HBW_WLK"
"152",816,770,29.31,0.98,"HBW_WLK"
"153",822,2166,24.61,0.98,"HBW_WLK"
"157",832,322,45.91,0.98,"HBW_WLK"
"160",857,733,18.7,0.98,"HBW_WLK"
"165",881,721,18.47,0.98,"HBW_WLK"
"170",1014,770,45.14,0.98,"HBW_WLK"
"176",1080,770,37.79,0.98,"HBW_WLK"
"177",1939,766,40.33,0.98,"HBW_WLK"
"178",1940,420,49.7,0.98,"HBW_WLK"
"185",2170,493,56.92,0.98,"HBW_WLK"
"187",2189,766,20.76,0.98,"HBW_WLK"
"211",663,408,19.39,0.98,"NHB_WLK"
"213",693,417,20.64,0.98,"NHB_WLK"
"243",176,2017,0,0.98,"Unassigned_HBNW_WLK"
"251",850,2017,0,0.98,"Unassigned_HBNW_WLK"
"257",1938,661,0,0.98,"Unassigned_HBNW_WLK"
"259",321,369,0,0.98,"Unassigned_HBW_CBDKNR"
"261",605,413,0,0.98,"Unassigned_HBW_CBDKNR"
"263",632,319,0,0.98,"Unassigned_HBW_CBDKNR"
"297",888,2017,0,0.98,"Unassigned_HBW_WLK"
"298",1077,952,0,0.98,"Unassigned_HBW_WLK"
"172",1027,770,46.71,0.96,"HBW_WLK"
"256",1077,663,0,0.72,"Unassigned_HBNW_WLK"
"16",420,1957,54.54,0.69,"HBNW_WLK"
"82",2134,2216,27.05,0.69,"HBNW_WLK"
"118",429,1415,60.34,0.69,"HBW_WLK"
"195",2270,1044,6.6,0.69,"HBW_WLK"
"312",822,317,0,0.69,"Unassigned_NHB_WLK"
"83",2171,663,17.22,0.65,"HBNW_WLK"
"158",833,319,42.66,0.65,"HBW_WLK"
"246",608,885,0,0.65,"Unassigned_HBNW_WLK"
