ID,Street Name,Route Number,COUNTY,Screenline,TIP Project,Count Station ID,2005 Count Total,AB 2005 Count,BA 2005 Count,2005 Count,FUN_CLASS,CTP_Type,CTP_CD,TERRAIN_CD,DIVIDED_CD,SPD_LIMIT,LANE_WIDTH,AB_LANES,BA_LANES,MODE,CanWalk,TruckRstr
8045,Charlotte Hwy WB Ramp               ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,25,12,1,0,1   ,1,0
8338,I-40                                ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,60,12,2,0,1   ,1,0
7931,I-40 EB Ramp                        ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,50,12,1,0,1   ,1,0
7957,I-40 EB Ramp                        ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,25,12,0,1,1   ,1,0
8136,I-40 WB                             ,40          ,Buncombe        ,0,         ,Factore,13400,13400,0,13400,1,Freeways                   ,1,4,1,55,12,1,0,1   ,1,0
24064,I-240 EB                            ,240         ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,55,12,2,0,1   ,1,0
23092,Charlotte Hwy WB Ramp               ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,1,Boulevards                 ,3,4,1,50,12,2,0,1   ,1,0
7851,I-40 EB                             ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,60,12,2,0,1   ,1,0
7890,I-40 WB Ramp                        ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,25,12,1,0,1   ,1,0
23090,Charlotte Hwy EB                    ,74A         ,Buncombe        ,0,         ,1000317,14820,13000,0,26000,3,Boulevards                 ,3,4,0,50,12,2,0,1   ,1,0
23094,Charlotte Hwy WB Ramp               ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,3,Boulevards                 ,3,4,0,50,12,0,2,1   ,1,0
23093,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,3,Minor Thoroughfares        ,5,4,0,25,12,0,1,1   ,1,0
7741,Charlotte Hwy WB Ramp               ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,3,Boulevards                 ,3,4,0,50,12,0,2,1   ,1,0
7787,Charlotte Hwy WB Ramp               ,74A         ,Buncombe        ,0,         ,1000317,14820,0,13000,26000,3,Boulevards                 ,3,4,0,50,12,0,2,1   ,1,0
23104,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,3,Minor Thoroughfares        ,5,4,0,25,12,1,0,1   ,1,0
23101,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,4,0,25,11,1,1,1   ,1,0
7634,Blue Ridge Pky                      ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,3,0,40,10,1,1,1   ,1,0
23098,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,4,0,25,11,0,1,1   ,1,0
9892,Swannanoa River Rd                  ,81          ,Buncombe        ,0,         ,       ,0,0,0,0,4,Other Major Thoroughfares  ,4,4,0,45,12,1,1,1   ,1,0
8931,Fairview Rd                         ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,5,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
24237,Swannanoa River Rd                  ,81          ,Buncombe        ,0,         ,1000294,11058,4850,4850,9700,4,Boulevards                 ,3,4,0,45,12,1,1,1   ,1,0
23055,                                    ,            ,Buncombe        ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
10360,Swannanoa River Rd                  ,81          ,Buncombe        ,0,         ,       ,0,0,0,0,4,Boulevards                 ,3,4,0,45,12,1,1,1   ,1,0
23496,Charlotte Hwy                       ,74A         ,Buncombe        ,0,         ,1000318,29640,13000,13000,26000,3,Boulevards                 ,3,4,2,50,12,2,2,1   ,1,0
23102,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,3,Minor Thoroughfares        ,5,4,0,25,11,1,0,1   ,1,0
7542,Charlotte Hwy                       ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,3,Boulevards                 ,3,4,2,50,12,2,2,1   ,1,0
7595,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,3,Minor Thoroughfares        ,5,4,0,25,11,1,0,1   ,1,0
23103,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,4,0,25,12,1,0,1   ,1,0
7765,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,4,0,25,12,1,1,1   ,1,0
8101,Blue Ridge Pky                      ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,3,0,40,11,1,1,1   ,1,0
23069,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,4,0,25,11,1,1,1   ,1,0
23068,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,4,0,25,11,1,0,1   ,1,0
23061,Blue Ridge Pky                      ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,3,0,40,10,1,1,1   ,1,0
