ID, NAME, LONGNAME, MODE, OPERATOR, HEADWAY[1], HEADWAY[2], HEADWAY[3], WAITCURVE, TIMEFAC[1],USERA1, USERA2, USERA3, USERA4
230 , M33L605BD , RTE HALLANDALE BEACH 2          ,31,392,60,60,60,,1.2,     ,     ,     ,33   
231 , M33L606BD , RTE HALLANDALE BEACH 3          ,31,392,60,60,60,,1.2,     ,     ,     ,33   
232 , M33L607BD , RTE MIRAMAR GREEN WEST          ,31,392,60,60,60,,1.2,     ,     ,     ,33   
233 , M33L608BD , RTE MIRAMAR GREEN EAST          ,31,392,60,60,60,,1.2,     ,     ,     ,33   
234 , M33L609BD , RTE POMPANO GREEN               ,31,392,60,60,60,,1.2,     ,     ,     ,33   
235 , M33L610BD , RTE POMPANO BLUE                ,31,392,60,60,60,,1.2,     ,     ,     ,33   
236 , M33L611BD , RTE POMPANO GREEN WEST          ,31,392,60,60,60,,1.2,     ,     ,     ,33   
237 , M33L612BD , RTE TAMARAC RED                 ,31,392,60,60,60,,1.2,     ,     ,     ,33   
238 , M33L613BD , RTE TAMARAC YELLOW              ,31,392,60,60,60,,1.2,     ,     ,     ,33   
239 , M11L210BI , RTE T1: FT LAUD NW CW,12,191,70,75,120,,1.2,,,,11
240 , M11L210BO , RTE T1: FT LAUD NW CCW          ,12,191,66,75,120,,1.2,     ,     ,     ,11   
241 , M23L1MI , RTE A: WB MIAMI BCH LINCOLN/WASH,21,292,20,40,20,,1.2,SV   ,A    ,426  ,23   
242 , M23L1MO , RTE A:  EB OMNI TO LINCOLN/WASHI,21,292,20,40,20,,1.2,SV   ,A    ,426  ,23   
243 , M23L2MI , RTE B: BRK -> KEY BISCAYNE      ,21,292,15,30,15,,1.2,SV   ,B    ,1802 ,23   
244 , M23L2MO , RTE B: KEY BISCAYNE TO DOWNTN TE,21,292,15,30,15,,1.2,SV   ,B    ,1802 ,23   
245 , M23L3MI , RTE C: MT SINAI HO -> DOWNTN TER,21,292,20,20,20,,1.2,SV   ,C    ,3577 ,23   
246 , M23L3MO , RTE C: DOWNTN TERMINAL TO MT SIN,21,292,20,20,20,,1.2,SV   ,C    ,3577 ,23   
247 , M23L4MI , RTE E: WB DIPLOMAT MALL -> MIAMI,21,292,30,45,30,,1.2,SV   ,E    ,1429 ,23   
248 , M23L4MO , RTE E:  MIAMI LAKES  ->  DIPLOMA,21,292,30,45,30,,1.2,SV   ,E    ,1429 ,23   
249 , M23L104MI , RTE G: PAL EXWY -> MBCC         ,21,292,20,30,20,,1.2,SV   ,G    ,2988 ,23   
250 , M23L104MO , RTE G:   MBCC->PAL EXWY,21,292,30,30,30,,1.2,SV,G,2988,23
251 , M23L8MI , RTE J: 72ST & COLLINS AVE -> DR ,21,292,20,30,20,,1.2,SV   ,J    ,4740 ,23   
252 , M23L8MO , RTE J: NORMNDY ISL -> DR STA    ,21,292,20,30,20,,1.2,SV   ,J    ,4740 ,23   
253 , M23L11MI , RTE L: HIA TO 19TH/MERIDIAN E/B ,21,292,20,25,20,,1.2,SV   ,L    ,10045,23   
254 , M23L11MO , RTE L: 19TH/MERIDIAN TO HIA W/B ,21,292,20,25,20,,1.2,SV   ,L    ,10045,23   
255 , M23L12MI , RTE L: AMTRAK TO 19TH/MERIDIAN E,21,292,20,25,20,,1.2,SV   ,L    ,10045,23   
256 , M23L12MO , RTE L: 19TH/MERIDIAN TO AMTRAK W,21,292,20,25,20,,1.2,SV   ,L    ,10045,23   
